District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,State,District,Latitude,Longitude,sex_ratio,literacy_rate
479,2743082,6628,498326,Gujarat,Junagadh,20.929523011609785,70.54733890140345,105.0,67.0
480,1514190,2538,273331,Gujarat,Amreli,21.04832649310872,71.43457637825426,104.0,66.0
481,2880365,7297,500757,Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,107.0,66.0
482,2092745,9902,378310,Gujarat,Anand,22.282718206229863,72.57782051557454,108.0,74.0
483,2299885,5710,372226,Gujarat,Kheda,22.88765312500002,73.018803515625,106.0,72.0
484,2390776,3456,398937,Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,105.0,60.0
486,4165626,53606,798277,Gujarat,Vadodara,22.26133739279589,73.49433010291594,107.0,69.0
487,590297,576,101940,Gujarat,Narmada,21.70666386292833,73.68403208722742,104.0,63.0
488,1551019,10257,309091,Gujarat,Bharuch,21.75787276237761,72.67326346710801,108.0,72.0
489,228291,137,29794,Gujarat,The Dangs,20.801633877551023,73.6883518367347,99.0,62.0
490,1329672,6726,267679,Gujarat,Navsari,20.866973318871995,72.86184869848157,104.0,75.0
491,1705678,11020,329218,Gujarat,Valsad,20.44238231644259,72.9148584798345,108.0,69.0
492,6081322,55694,1252452,Gujarat,Surat,21.25761372772093,72.93488716344339,127.0,75.0
495,191173,1316,49249,Daman and Diu,Daman,20.431616666666677,72.8392366071429,187.0,79.0
497,1648295,2579,186202,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,102.0,55.0
498,2050862,6065,315332,Maharashtra,Dhule,21.274018690400517,74.58719071837263,106.0,63.0
499,4229917,14297,720791,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,108.0,68.0
500,2586258,4767,423036,Maharashtra,Buldana,20.56680611183355,76.39017880364096,107.0,73.0
501,1813906,6163,314490,Maharashtra,Akola,20.746310479041902,77.12122320359276,106.0,78.0
502,1197160,1875,196022,Maharashtra,Washim,20.282282394366213,77.25502394366208,108.0,73.0
503,2888445,9438,512492,Maharashtra,Amravati,21.16520991810736,77.67583503184723,105.0,78.0
504,1300774,4313,266155,Maharashtra,Wardha,20.80743024390242,78.57259105691062,106.0,78.0
505,4653570,57964,917626,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,105.0,79.0
506,1200334,2932,227025,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,102.0,75.0
507,1322507,2866,239981,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,100.0,76.0
509,2204307,8239,418666,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,104.0,72.0
510,2772348,6094,446516,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,105.0,73.0
511,3361292,7548,488748,Maharashtra,Nanded,19.209316983017,77.6829048951049,106.0,65.0
512,1177345,1221,159114,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,106.0,67.0
513,1836086,3982,272486,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,106.0,63.0
514,1959046,3791,288895,Maharashtra,Jalna,19.984612534818933,75.98473607242339,107.0,61.0
516,6107187,45039,904710,Maharashtra,Nashik,20.266912871287143,74.03824168316828,107.0,71.0
517,11060148,256170,2231800,Maharashtra,Thane,19.698767747440264,72.79882742564581,113.0,74.0
521,9429408,235018,1925019,Maharashtra,Pune,18.51696171428573,74.12922881632647,109.0,76.0
523,2585049,5614,402052,Maharashtra,Bid,18.952353340080982,75.69319706477731,109.0,66.0
524,2454196,6217,381722,Maharashtra,Latur,18.348687268993856,76.75812607802874,108.0,67.0
525,1657576,3209,240042,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,108.0,69.0
526,4317756,15145,595560,Maharashtra,Solapur,17.837357937584812,75.42394823609216,107.0,67.0
527,3003741,14093,562653,Maharashtra,Satara,17.6737908974359,74.18052064102558,101.0,74.0
528,1615069,7752,367352,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,89.0,74.0
529,849651,3517,194228,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,97.0,78.0
530,3876001,22269,770005,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,105.0,73.0
531,2822143,13212,485126,Maharashtra,Sangli,17.154930181086502,74.70713822937628,104.0,73.0
532,2741239,5512,566108,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,100.0,54.0
533,2551335,5261,545913,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,96.0,54.0
534,3776269,8831,926768,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,99.0,58.0
535,3033288,8635,604719,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,101.0,54.0
536,3943323,149034,869721,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,105.0,73.0
538,4053028,6153,757821,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,102.0,48.0
539,3488809,7715,789225,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,102.0,57.0
540,3512576,12952,828077,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,100.0,59.0
541,2797370,8628,668519,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,99.0,58.0
542,2703114,3988,615432,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,99.0,55.0
543,2344474,4453,527736,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,98.0,53.0
545,5154296,22411,1297273,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,99.0,64.0
546,3936966,12050,1017568,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,100.0,67.0
547,4517398,30438,1163932,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,101.0,67.0
548,4887813,19383,1186028,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,100.0,61.0
549,3397448,6151,763746,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,102.0,56.0
552,4053463,10081,816721,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,101.0,52.0
553,4081148,8606,897970,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,102.0,57.0
554,4174064,13763,944555,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,100.0,64.0
555,4779661,17560,808827,Karnataka,Belgaum,16.16107219152853,74.72329042357275,103.0,64.0
556,1889752,3745,301389,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,101.0,59.0
558,1703300,3971,271439,Karnataka,Bidar,17.950361730769224,77.19459961538459,105.0,61.0
559,1928812,5200,314547,Karnataka,Raichur,16.050795353982295,76.87368606194688,100.0,51.0
560,1389920,2135,223166,Karnataka,Koppal,15.651253271028034,76.1617048598131,101.0,58.0
561,1064570,3373,198064,Karnataka,Gadag,15.507128256880746,75.64861302752298,102.0,66.0
562,1847023,15013,347962,Karnataka,Dharwad,15.343831376975173,75.13831264108359,103.0,70.0
564,1597668,2456,295937,Karnataka,Haveri,14.737582809224318,75.3961230607966,105.0,68.0
565,2452595,9626,440374,Karnataka,Bellary,15.074377548209377,76.47228471074374,102.0,58.0
566,1659456,5711,307257,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,103.0,66.0
567,1945497,7320,372671,Karnataka,Davanagere,14.330414586709884,75.91723841166937,103.0,67.0
568,1752753,8791,363835,Karnataka,Shimoga,14.063845885634592,75.17882078103197,100.0,72.0
569,1177361,9070,224814,Karnataka,Udupi,13.450404228534568,74.72009990316337,91.0,79.0
570,1137961,4510,238505,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,99.0,72.0
571,2678980,7971,562769,Karnataka,Tumkur,13.592467760074973,77.02297966260545,102.0,68.0
573,1805769,3367,391033,Karnataka,Mandya,12.574901806239744,76.81570098522172,100.0,64.0
574,1776421,4851,400702,Karnataka,Hassan,12.945098749999998,76.11049549999997,99.0,69.0
576,554519,3308,113931,Karnataka,Kodagu,12.39684468085106,75.79336595744688,98.0,74.0
577,3001127,28397,640868,Karnataka,Mysore,12.248100259403367,76.52881802853437,101.0,65.0
579,2566326,9752,404767,Karnataka,Gulbarga,17.070459515951594,76.87503850385033,103.0,56.0
581,1536401,5051,309494,Karnataka,Kolar,13.312799881235172,78.01376947743476,102.0,66.0
583,990923,3729,214253,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,106.0,70.0
585,818008,23440,173951,Goa,North Goa,15.548723418714054,73.80667997909038,104.0,81.0
586,640537,17624,138810,Goa,South Goa,15.195278658183785,73.941792596877,101.0,78.0
588,1307375,10378,237670,Kerala,Kasaragod,12.33310309912974,75.07768497134369,93.0,79.0
589,2523003,32653,511167,Kerala,Kannur,11.941523076923056,75.35209891725934,88.0,85.0
590,817420,4712,149864,Kerala,Wayanad,11.715277464788736,76.07587007042254,97.0,79.0
591,3086293,36791,641660,Kerala,Kozhikode,11.392924270557026,75.71158720159153,91.0,85.0
592,4112920,27909,730119,Kerala,Malappuram,10.97329875666072,75.93910775606876,91.0,81.0
593,2809934,27162,587583,Kerala,Palakkad,10.784926903553291,76.49980490693744,94.0,80.0
594,3121200,56148,721625,Kerala,Thrissur,10.458932647907687,76.12321940836945,90.0,86.0
595,3282388,88737,771287,Kerala,Ernakulam,10.004879301987431,76.26957729035381,97.0,87.0
596,1108974,8250,244844,Kerala,Idukki,9.80480963855423,77.04586641566264,99.0,83.0
597,1974551,37849,464039,Kerala,Kottayam,9.643701174068417,76.46059673302705,96.0,89.0
598,2127789,28842,507913,Kerala,Alappuzha,9.542602965599087,76.38010796263319,91.0,87.0
600,2635375,31542,630767,Kerala,Kollam,8.929388820570157,76.6360775852431,90.0,85.0
601,3301427,71621,783872,Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,92.0,84.0
602,3728104,75634,909400,Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,101.0,75.0
603,4646732,217368,1096334,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,101.0,81.0
604,3998252,100322,961161,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,101.0,75.0
605,3936331,20623,865913,Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,99.0,70.0
606,2464875,6445,549077,Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,101.0,66.0
608,3482056,20660,835377,Tamil Nadu,Salem,11.629324202127655,78.2478257978723,105.0,66.0
609,1726601,8960,441044,Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,101.0,68.0
610,2251744,18604,595211,Tamil Nadu,Erode,11.267012155963302,77.42034334862392,101.0,66.0
612,2159775,9155,500057,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,100.0,69.0
613,1064493,4915,264949,Tamil Nadu,Karur,10.79532776617955,78.08749686847604,98.0,68.0
615,565223,1507,135751,Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,100.0,66.0
616,754894,1749,177502,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,99.0,64.0
617,2605914,15396,598412,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,101.0,70.0
618,1616450,5585,381940,Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,98.0,75.0
619,1264277,4416,303114,Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,98.0,75.0
620,2405890,13495,555582,Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,97.0,74.0
621,1618345,4494,354493,Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,99.0,69.0
